SIS ID,School SIS ID,Section Name,Section Number,Term SIS ID,Term Name,Term StartDate,Term EndDate,Course SIS ID,Course Name,Course Number,Course Description,Course Subject,Periods,Status
11001,10001,Math - Algebra 1,11001,12000,SY1516,9/1/2015,6/15/2016,11001200,Math 202,200,Algebra Level 1,Math,1,Active
11002,10001,English - Language 1,11002,12000,SY1516,9/1/2015,6/15/2016,11002201,English 201,201,English Level 1,English,3,Active
11003,10001,History - World History AP,11003,12000,SY1516,9/1/2015,6/15/2016,11003202,History 202,202,AP World History,History,6,Active
11004,10001,Science - Biology 2,11004,12000,SY1516,9/1/2015,6/15/2016,11004203,Science 203,203,Biology Level 2 - Honors,Science,2,Active
11005,10001,Gym 2,11005,12000,SY1516,9/1/2015,6/15/2016,11005204,Gym 204,204,Gym Level 2,Gym,7,Active
11006,10001,Health 3A,11006,12000,SY1516,9/1/2015,6/15/2016,11006205,Health 205,205,Health 3B,Health,5,Active
11007,10001,Technology - Programming  2,11007,12000,SY1516,9/1/2015,6/15/2016,11007206,Technology 206,206,Advanced Programing,Technology,2,Active
11008,10002,Math - Algebra 2,11008,12000,SY1516,9/1/2015,6/15/2016,11008301,Math 300,300,Algebra Level 2,Math,3,Active
11009,10002,English - Language 2,11009,12000,SY1516,9/1/2015,6/15/2016,11009302,English 301,301,English Level 2,English,8,Active
11010,10002,History - US History AP,11010,12000,SY1516,9/1/2015,6/15/2016,11010303,History 302,302,AP US History,History,4,Active
11011,10002,Science - Geology 2,11011,12000,SY1516,9/1/2015,6/15/2016,11011304,Science 303,303,Advanced Geology 2,Science,1,Active
11012,10002,Gym 1,11012,12000,SY1516,9/1/2015,6/15/2016,11012305,Gym 304,304,Gym Level 1,Gym,3,Active
11013,10002,Health 3B,11013,12000,SY1516,9/1/2015,6/15/2016,11013306,Health 305,305,Health 3B,Health,8,Active
11014,10002,Technology - Networking 1,11014,12000,SY1516,9/1/2015,6/15/2016,11014307,Technology 306,306,Networking Basics,Technology,2,Active
11015,10001,Science - Biology 3,11015,12000,SY1516,9/1/2015,6/15/2016,11015207,Science 207,207,Biology Level 3,Biology,3,Active
11016,10001,Science - Biology 4,11016,12000,SY1516,9/1/2015,6/15/2016,11016407,Science 407,407,AP Biology,Biology,6,Active
11017,10001,Test Email Gen 1,11017,12000,SY1516,9/1/2015,6/15/2016,11017408,Test Email Gen 1,408,Test Email Gen 1,Justatest,5,Active
11018,10001,Test Email Gen 2,11018,12000,SY1516,9/2/2015,6/16/2016,11018409,Test Email Gen 2,409,Test Email Gen 2,,9,Active
11019,10001,Test Scheduled Task,11019,12000,SY1516,9/2/2015,6/16/2016,11019410,Test Scheduled Task,410,Test Scheduled Task,Test 1,12,Active
11020,10001,Art 2,11020,12000,SY1516,9/2/2015,6/16/2016,11020415,Art 2,415,Art 2,Art,3,Active
11021,10001,6862844,11021,12000,SY1516,9/2/2015,6/16/2016,11021215,6862844,215,6862844,6862844,9,Active
