Section SIS ID,SIS ID
11001,13001
11002,13002
11003,13003
11004,13004
11005,13005
11006,13006
11007,13001
11008,13007
11009,13008
11010,13009
11011,13010
11012,13011
11013,13007
11014,13008
11001,13002
11002,13003
11003,13004
11004,13005
11005,13006
11006,13001
11007,13002
11008,13009
11009,13010
11010,13011
11011,13007
11012,13008
11013,13009
11014,13010
11015,13002
11015,13003
11015,13004
11017,13012
11017,13013
11017,13014
11017,13015
11017,13016
11018,13012
11018,13013
11018,13014
11018,13015
11018,13016
11001,13017
